"Time [ms]","Size [B]","Used [B]"
"2:50:29.537 PM, Sep 25, 2022","100,663,328","34,214,480"
"2:50:30.537 PM, Sep 25, 2022","100,663,328","34,214,480"
"2:50:31.537 PM, Sep 25, 2022","100,663,328","34,214,480"
"2:50:32.538 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:33.538 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:34.538 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:35.538 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:36.539 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:37.539 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:38.539 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:39.540 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:40.540 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:41.540 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:42.540 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:43.541 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:44.541 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:45.541 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:46.542 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:47.542 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:48.542 PM, Sep 25, 2022","100,663,328","21,627,496"
"2:50:49.542 PM, Sep 25, 2022","100,663,328","42,599,016"
"2:50:50.542 PM, Sep 25, 2022","100,663,328","42,599,016"
"2:50:51.543 PM, Sep 25, 2022","100,663,328","42,599,016"
"2:50:52.543 PM, Sep 25, 2022","100,663,328","42,599,016"
"2:50:53.543 PM, Sep 25, 2022","100,663,328","42,599,016"
"2:50:54.544 PM, Sep 25, 2022","100,663,328","21,627,808"
"2:50:55.544 PM, Sep 25, 2022","100,663,328","21,627,808"
"2:50:56.544 PM, Sep 25, 2022","100,663,328","21,627,808"
"2:50:57.545 PM, Sep 25, 2022","100,663,328","21,627,808"
"2:50:58.545 PM, Sep 25, 2022","100,663,328","21,627,808"
"2:50:59.545 PM, Sep 25, 2022","100,663,328","21,627,808"
"2:51:00.545 PM, Sep 25, 2022","100,663,328","21,627,808"
"2:51:01.545 PM, Sep 25, 2022","100,663,328","21,627,808"
"2:51:02.546 PM, Sep 25, 2022","100,663,328","21,627,808"
